camera,person_a,person_b,timestamp,duration_seconds
ROOM,Om,shinjan,2026-08-07 12:32:13,0.00
ROOM,Om,shrayan,2026-08-07 12:32:13,0.00
ROOM,Om,shrayan,2026-08-07 12:32:13,0.00
ROOM,Om,sarisht,2026-08-07 12:32:13,0.27
ROOM,Om,shrayan,2026-08-07 12:32:13,0.00
ROOM,Om,shrayan,2026-08-07 12:32:13,0.00
ROOM,Om,sarisht,2026-08-07 12:32:13,0.11
ROOM,sarisht,satyabrata,2026-08-07 12:32:13,0.00
ROOM,Om,shrayan,2026-08-07 12:32:13,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:32:14,0.00
ROOM,Om,shrayan,2026-08-07 12:32:14,0.00
ROOM,Om,shrayan,2026-08-07 12:32:14,0.00
ROOM,Om,shrayan,2026-08-07 12:32:14,0.00
ROOM,Om,shrayan,2026-08-07 12:32:14,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:32:14,0.17
ROOM,Om,shrayan,2026-08-07 12:32:14,0.00
ROOM,Om,sarisht,2026-08-07 12:32:13,0.85
ROOM,Om,shrayan,2026-08-07 12:32:14,0.14
ROOM,satyabrata,shrayan,2026-08-07 12:32:14,0.42
ROOM,Om,shrayan,2026-08-07 12:32:15,0.00
ROOM,Om,sarisht,2026-08-07 12:32:14,0.46
ROOM,Om,sarisht,2026-08-07 12:32:15,0.17
ROOM,Om,sarisht,2026-08-07 12:32:15,0.07
ROOM,Om,sarisht,2026-08-07 12:32:16,0.16
ROOM,satyabrata,shrayan,2026-08-07 12:32:16,0.10
ROOM,Om,sarisht,2026-08-07 12:32:16,0.07
ROOM,Om,shrayan,2026-08-07 12:32:15,0.83
ROOM,Om,shrayan,2026-08-07 12:32:17,0.06
ROOM,sarisht,satyabrata,2026-08-07 12:32:17,0.10
ROOM,satyabrata,shrayan,2026-08-07 12:32:16,1.22
ROOM,sarisht,satyabrata,2026-08-07 12:32:17,0.28
ROOM,Om,shinjan,2026-08-07 12:32:15,2.34
